personRank,movieTitle,director,person,IMDBRating,year,seen
7,The Red Shoes,Michael Powell and Emeric Pressburger,Marcel Dzama,8.2,1948,
8,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Marcel Dzama,7.9,1970,
9,M,Fritz Lang,Marcel Dzama,8.3,1931,
10,Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,Marcel Dzama,8,2007,
11,Heaven Can Wait,Ernst Lubitsch,Marcel Dzama,7.5,1943,
1,Pierrot le fou,Jean-Luc Godard,Xavier Dolan,7.6,1965,
2,Cries and Whispers,Ingmar Bergman,Xavier Dolan,8.1,1972,
3,Forbidden Games,René Clément,Xavier Dolan,8.1,1952,
4,The 400 Blows,François Truffaut,Xavier Dolan,8.1,1959,
5,Taste of Cherry,Abbas Kiarostami,Xavier Dolan,7.7,1997,
6,The Cranes Are Flying,Mikhail Kalatozov,Xavier Dolan,8.3,1957,
7,Au revoir les enfants,Louis Malle,Xavier Dolan,8,1987,
8,Beauty and the Beast,Jean Cocteau,Xavier Dolan,7.9,1946,
9,Mala Noche,Gus Van Sant,Xavier Dolan,6.6,1986,
10,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Xavier Dolan,7.9,1972,
1,The Virgin Spring,Ingmar Bergman,Frederick Elmes,8.1,1960,
2,Juliet of the Spirits,Federico Fellini,Frederick Elmes,7.6,1965,
3,Repulsion,Roman Polanski,Frederick Elmes,7.7,1965,
4,Persian Series #1,Stan Brakhage,Frederick Elmes,5.3,1999,
5,Murmur of the Heart,Louis Malle,Frederick Elmes,7.7,1971,
6,Claire's Knee,Eric Rohmer,Frederick Elmes,7.7,1970,
7,Carnival of Souls,Herk Harvey,Frederick Elmes,7.1,1962,
8,PlayTime,Jacques Tati,Frederick Elmes,7.9,1967,
9,Picnic at Hanging Rock,Peter Weir,Frederick Elmes,7.5,1975,
10,In the Mood for Love,Wong Kar-wai,Frederick Elmes,8.1,2000,
1,Seven Samurai,Akira Kurosawa,Johnnie To,8.6,1954,
2,High and Low,Akira Kurosawa,Johnnie To,8.5,1963,
3,Straw Dogs,Sam Peckinpah,Johnnie To,7.5,1971,
4,Harakiri,Masaki Kobayashi,Johnnie To,8.7,1962,
5,Le samouraï,Jean-Pierre Melville,Johnnie To,8.1,1967,
6,Le cercle rouge,Jean-Pierre Melville,Johnnie To,8,1970,
7,In the Mood for Love,Wong Kar-wai,Johnnie To,8.1,2000,
8,Brazil,Terry Gilliam,Johnnie To,7.9,1985,
9,The Last Emperor,Bernardo Bertolucci,Johnnie To,7.7,1987,
10,Yojimbo,Akira Kurosawa,Johnnie To,8.2,1961,
1,Brazil,Terry Gilliam,Iron and Wine,7.9,1985,
2,Yojimbo,Akira Kurosawa,Iron and Wine,8.2,1961,
3,The Third Man,Carol Reed,Iron and Wine,8.1,1949,
4,Down by Law,Jim Jarmusch,Iron and Wine,7.8,1986,
5,Persian Series #1,Stan Brakhage,Iron and Wine,5.3,1999,
6,La strada,Federico Fellini,Iron and Wine,8,1954,
7,The Battle of Algiers,Gillo Pontecorvo,Iron and Wine,8.1,1966,
8,A Woman Under the Influence,John Cassavetes,Iron and Wine,8.2,1974,
9,Burden of Dreams,Les Blank,Iron and Wine,7.9,1982,
10,Naked,Mike Leigh,Iron and Wine,7.8,1993,
1,Last Year at Marienbad,Alain Resnais,Seth,7.8,1961,
2,Paddle to the Sea,William Mason,Seth,7.8,1966,
3,Tokyo Story,Yasujiro Ozu,Seth,8.2,1953,
4,Metropolitan,Whit Stillman,Seth,7.4,1990,
5,Nights of Cabiria,Federico Fellini,Seth,8.1,1957,
6,The Vanishing,George Sluizer,Seth,7.7,1988,
7,The Browning Version,Anthony Asquith,Seth,8.2,1951,
8,Equinox,Jack Woods,Seth,5.3,1970,
9,Winter Light,Ingmar Bergman,Seth,8.1,1963,
10,Tunes of Glory,Ronald Neame,Seth,7.5,1960,
1,The River,Jean Renoir,Pedro Costa,7.5,1951,
2,PlayTime,Jacques Tati,Pedro Costa,7.9,1967,
3,Late Spring,Yasujiro Ozu,Pedro Costa,8.3,1949,
4,When a Woman Ascends the Stairs,Mikio Naruse,Pedro Costa,8.1,1960,
5,The Exterminating Angel,Luis Buñuel,Pedro Costa,8.1,1962,
6,Heaven Can Wait,Ernst Lubitsch,Pedro Costa,7.5,1943,
7,Notorious,Alfred Hitchcock,Pedro Costa,7.9,1946,Yes
8,Young Mr. Lincoln,John Ford,Pedro Costa,7.6,1939,
9,Vampyr,Carl Th. Dreyer,Pedro Costa,7.6,1932,
10,Diary of a Country Priest,Robert Bresson,Pedro Costa,8,1951,
1,The Passion of Joan of Arc,Carl Th. Dreyer,Michael Atkinson,8.1,1928,
2,Two-Lane Blacktop,Monte Hellman,Michael Atkinson,7.2,1971,
3,Pierrot le fou,Jean-Luc Godard,Michael Atkinson,7.6,1965,
4,Late Spring,Yasujiro Ozu,Michael Atkinson,8.3,1949,
5,The Exterminating Angel,Luis Buñuel,Michael Atkinson,8.1,1962,
5,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Michael Atkinson,7.9,1972,
6,Dead Ringers,David Cronenberg,Michael Atkinson,7.3,1988,
7,My Own Private Idaho,Gus Van Sant,Michael Atkinson,7.1,1991,
8,Taste of Cherry,Abbas Kiarostami,Michael Atkinson,7.7,1997,
9,The Rules of the Game,Jean Renoir,Michael Atkinson,8.1,1939,
10,À nous la liberté,René Clair,Michael Atkinson,7.5,1931,
1,Brute Force,Jules Dassin,Joe Mantegna,7.6,1947,
2,The Naked Prey,Cornel Wilde,Joe Mantegna,7.3,1965,
3,The Friends of Eddie Coyle,Peter Yates,Joe Mantegna,7.5,1973,
4,The Golden Age of Television,,Joe Mantegna,7.7,1981,
5,Juliet of the Spirits,Federico Fellini,Joe Mantegna,7.6,1965,
6,The Ruling Class,Peter Medak,Joe Mantegna,7.5,1972,
7,Spartacus,Stanley Kubrick,Joe Mantegna,7.9,1960,
8,Rififi,Jules Dassin,Joe Mantegna,8.2,1955,
9,The Last Emperor,Bernardo Bertolucci,Joe Mantegna,7.7,1987,
10,House of Games,David Mamet,Joe Mantegna,7.3,1987,
1,Floating Weeds,Yasujiro Ozu,Sonic Youth,8,1959,
2,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,Sonic Youth,7.8,1975,
3,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Sonic Youth,8.1,1974,
4,Masculin féminin,Jean-Luc Godard,Sonic Youth,7.6,1966,
5,Double Suicide,Masahiro Shinoda,Sonic Youth,7.7,1969,
6,The Vanishing,George Sluizer,Sonic Youth,7.7,1988,
7,Mamma Roma,Pier Paolo Pasolini,Sonic Youth,7.8,1962,
8,Black Orpheus,Marcel Camus,Sonic Youth,7.5,1959,
9,Ace in the Hole,Billy Wilder,Sonic Youth,8.2,1951,
10,Night on Earth,Jim Jarmusch,Sonic Youth,7.8,1991,
11,Fat Girl,Catherine Breillat,Sonic Youth,6.5,2001,
12,Days of Heaven,Terrence Malick,Sonic Youth,7.9,1978,
1,Monterey Pop,D. A. Pennebaker,Caitlin Kuhwald,8,1968,
2,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Caitlin Kuhwald,7.9,1970,
3,The Seventh Seal,Ingmar Bergman,Caitlin Kuhwald,8.2,1957,
4,Yojimbo,Akira Kurosawa,Caitlin Kuhwald,8.2,1961,
5,Seven Samurai,Akira Kurosawa,Caitlin Kuhwald,8.6,1954,
6,In the Mood for Love,Wong Kar-wai,Caitlin Kuhwald,8.1,2000,
7,The Third Man,Carol Reed,Caitlin Kuhwald,8.1,1949,
8,The Royal Tenenbaums,Wes Anderson,Caitlin Kuhwald,7.6,2001,
9,Charade,Stanley Donen,Caitlin Kuhwald,7.9,1963,
10,The Passion of Joan of Arc,Carl Th. Dreyer,Caitlin Kuhwald,8.1,1928,
1,The 400 Blows,François Truffaut,Whit Stillman,8.1,1959,
2,The Lady Vanishes,Alfred Hitchcock,Whit Stillman,7.8,1938,Yes
3,The Harder They Come,Perry Henzell,Whit Stillman,6.9,1972,
4,The Seventh Seal,Ingmar Bergman,Whit Stillman,8.2,1957,
5,The Lady Eve,Preston Sturges,Whit Stillman,7.8,1941,
6,Big Deal on Madonna Street,Mario Monicelli,Whit Stillman,8,1958,
7,My Man Godfrey,Gregory La Cava,Whit Stillman,8,1936,
8,Black Orpheus,Marcel Camus,Whit Stillman,7.5,1959,
9,Notorious,Alfred Hitchcock,Whit Stillman,7.9,1946,Yes
10,Children of Paradise,Marcel Carné,Whit Stillman,8.4,1945,
1,Videodrome,David Cronenberg,Nathan Lee,7.3,1983,
2,Dead Ringers,David Cronenberg,Nathan Lee,7.3,1988,
3,Naked Lunch,David Cronenberg,Nathan Lee,7.1,1991,
4,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,Nathan Lee,7.8,1975,
5,Persian Series #1,Stan Brakhage,Nathan Lee,5.3,1999,
6,M,Fritz Lang,Nathan Lee,8.3,1931,
7,Alphaville,Jean-Luc Godard,Nathan Lee,7.2,1965,
8,RoboCop,Paul Verhoeven,Nathan Lee,7.5,1987,
9,The Earrings of Madame de . . .,Max Ophuls,Nathan Lee,8,1953,
10,Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,Nathan Lee,8,2007,
1,Slacker,Richard Linklater,Al Reinert,7.1,1990,
2,Sid & Nancy,Alex Cox,Al Reinert,7,1986,
3,Rififi,Jules Dassin,Al Reinert,8.2,1955,
4,Black Orpheus,Marcel Camus,Al Reinert,7.5,1959,
5,Brazil,Terry Gilliam,Al Reinert,7.9,1985,
6,The Lady Eve,Preston Sturges,Al Reinert,7.8,1941,
7,Days of Heaven,Terrence Malick,Al Reinert,7.9,1978,
8,Solaris,Andrei Tarkovsky,Al Reinert,8.1,1972,
9,Robinson Crusoe on Mars,Byron Haskin,Al Reinert,6.5,1964,
10,Monterey Pop,D. A. Pennebaker,Al Reinert,8,1968,
1,Hoop Dreams,Steve James,Joe Swanberg,8.3,1994,
2,Persian Series #1,Stan Brakhage,Joe Swanberg,5.3,1999,
3,The Red Shoes,Michael Powell and Emeric Pressburger,Joe Swanberg,8.2,1948,
4,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Joe Swanberg,7.9,1970,
5,The Harder They Come,Perry Henzell,Joe Swanberg,6.9,1972,
6,Two-Lane Blacktop,Monte Hellman,Joe Swanberg,7.2,1971,
7,Straw Dogs,Sam Peckinpah,Joe Swanberg,7.5,1971,
8,À nos amours,Maurice Pialat,Joe Swanberg,7.3,1983,
9,The Double Life of Véronique,Krzysztof Kieslowski,Joe Swanberg,7.8,1991,
10,Fishing with John,John Lurie,Joe Swanberg,8.1,1991,
1,8½,Federico Fellini,Götz Spielmann,8,1963,
2,Andrei Rublev,Andrei Tarkovsky,Götz Spielmann,8.2,1966,
3,Floating Weeds,Yasujiro Ozu,Götz Spielmann,8,1959,
4,L'avventura,Michelangelo Antonioni,Götz Spielmann,7.9,1960,
5,Before the Rain,Milcho Manchevski,Götz Spielmann,8,1994,
6,A Woman Under the Influence,John Cassavetes,Götz Spielmann,8.2,1974,
7,Ashes and Diamonds,Andrzej Wajda,Götz Spielmann,7.8,1958,
8,An Angel at My Table,Jane Campion,Götz Spielmann,7.5,1990,
9,Le samouraï,Jean-Pierre Melville,Götz Spielmann,8.1,1967,
10,Sans Soleil,Chris Marker,Götz Spielmann,8,1983,
1,The Spirit of the Beehive,Víctor Erice,James Franco,7.9,1973,
2,Murmur of the Heart,Louis Malle,James Franco,7.7,1971,
2,"Lacombe, Lucien",Louis Malle,James Franco,7.7,1974,
3,My Own Private Idaho,Gus Van Sant,James Franco,7.1,1991,
3,Mala Noche,Gus Van Sant,James Franco,6.6,1986,
4,A Woman Under the Influence,John Cassavetes,James Franco,8.2,1974,
5,Opening Night,John Cassavetes,James Franco,8,1977,
6,The Battle of Algiers,Gillo Pontecorvo,James Franco,8.1,1966,
7,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",James Franco,7.8,1969,
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",James Franco,7.9,1970,
8,L'eclisse,Michelangelo Antonioni,James Franco,7.9,1962,
8,L'avventura,Michelangelo Antonioni,James Franco,7.9,1960,
9,Il posto,Ermanno Olmi,James Franco,8,1961,
10,3 Women,Robert Altman,James Franco,7.8,1977,
10,Secret Honor,Robert Altman,James Franco,7.3,1984,
1,Richard III,Laurence Olivier,Paul Morrissey,7.4,1955,
2,The Third Man,Carol Reed,Paul Morrissey,8.1,1949,
3,The Leopard,Luchino Visconti,Paul Morrissey,8,1963,
4,The Thief of Bagdad,"Ludwig Berger, Michael Powell, and Tim Whelan",Paul Morrissey,7.5,1940,
5,The White Sheik,Federico Fellini,Paul Morrissey,7.2,1952,
6,The Scarlet Empress,Josef von Sternberg,Paul Morrissey,7.6,1934,
7,The Earrings of Madame de . . .,Max Ophuls,Paul Morrissey,8,1953,
8,Summertime,David Lean,Paul Morrissey,7.2,1955,
9,Under the Volcano,John Huston,Paul Morrissey,7.1,1984,
10,The Bank Dick,Edward Cline,Paul Morrissey,7.2,1940,
1,The Spirit of the Beehive,Víctor Erice,Monte Hellman,7.9,1973,
2,The Double Life of Véronique,Krzysztof Kieslowski,Monte Hellman,7.8,1991,
3,Notorious,Alfred Hitchcock,Monte Hellman,7.9,1946,Yes
4,Le samouraï,Jean-Pierre Melville,Monte Hellman,8.1,1967,
5,The Lady Eve,Preston Sturges,Monte Hellman,7.8,1941,
6,The Fallen Idol,Carol Reed,Monte Hellman,7.7,1948,
6,The Third Man,Carol Reed,Monte Hellman,8.1,1949,
7,Children of Paradise,Marcel Carné,Monte Hellman,8.4,1945,
7,Port of Shadows,Marcel Carné,Monte Hellman,7.8,1938,
8,Grand Illusion,Jean Renoir,Monte Hellman,8.1,1937,
9,Scenes from a Marriage,Ingmar Bergman,Monte Hellman,8.5,1974,
10,8½,Federico Fellini,Monte Hellman,8,1963,
10,Amarcord,Federico Fellini,Monte Hellman,7.9,1973,
10,La strada,Federico Fellini,Monte Hellman,8,1954,
10,Nights of Cabiria,Federico Fellini,Monte Hellman,8.1,1957,
1,Army of Shadows,Jean-Pierre Melville,Dave Filipi,8.2,1969,
2,Au hasard Balthazar,Robert Bresson,Dave Filipi,7.9,1966,
3,Dazed and Confused,Richard Linklater,Dave Filipi,7.6,1993,
4,Fiend Without a Face,Arthur Crabtree,Dave Filipi,6.2,1958,
5,The Flowers of St. Francis,Roberto Rossellini,Dave Filipi,7.4,1950,
6,Ivan's Childhood,Andrei Tarkovsky,Dave Filipi,8.1,1962,
7,La Jetée,Chris Marker,Dave Filipi,8.3,1962,
8,Mon oncle,Jacques Tati,Dave Filipi,7.8,1958,
9,Robinson Crusoe on Mars,Byron Haskin,Dave Filipi,6.5,1964,
10,The Unbearable Lightness of Being,Philip Kaufman,Dave Filipi,7.3,1988,
1,8½,Federico Fellini,Chris Hegedus,8,1963,
2,Juliet of the Spirits,Federico Fellini,Chris Hegedus,7.6,1965,
3,Contempt,Jean-Luc Godard,Chris Hegedus,7.6,1963,
4,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Chris Hegedus,8.1,1982,
5,The Battle of Algiers,Gillo Pontecorvo,Chris Hegedus,8.1,1966,
6,Sullivan's Travels,Preston Sturges,Chris Hegedus,8,1941,
7,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,Chris Hegedus,7.5,1945,
8,Jules and Jim,François Truffaut,Chris Hegedus,7.8,1962,
9,Monterey Pop,D. A. Pennebaker,Chris Hegedus,8,1968,
10,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",Chris Hegedus,7.8,1969,
1,The 39 Steps,Alfred Hitchcock,Ricky Jay,7.7,1935,Yes
2,Children of Paradise,Marcel Carné,Ricky Jay,8.4,1945,
3,F for Fake,Orson Welles,Ricky Jay,7.8,1973,
4,Seven Samurai,Akira Kurosawa,Ricky Jay,8.6,1954,
5,The Lady Eve,Preston Sturges,Ricky Jay,7.8,1941,
6,Secret Honor,Robert Altman,Ricky Jay,7.3,1984,
7,Oliver Twist,David Lean,Ricky Jay,7.8,1948,
8,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,Ricky Jay,7.5,1954,
9,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,Ricky Jay,7.5,1945,
10,Night and the City,Jules Dassin,Ricky Jay,7.9,1950,
1,Seven Samurai,Akira Kurosawa,Adam Yauch,8.6,1954,
2,Walkabout,Nicolas Roeg,Adam Yauch,7.6,1971,
3,Nights of Cabiria,Federico Fellini,Adam Yauch,8.1,1957,
4,Yojimbo,Akira Kurosawa,Adam Yauch,8.2,1961,
5,Sanjuro,Akira Kurosawa,Adam Yauch,8.1,1962,
6,Rushmore,Wes Anderson,Adam Yauch,7.7,1998,Yes
7,And God Created Woman,Roger Vadim,Adam Yauch,6.3,1956,
8,The Harder They Come,Perry Henzell,Adam Yauch,6.9,1972,
9,Rashomon,Akira Kurosawa,Adam Yauch,8.2,1950,
10,The Life Aquatic with Steve Zissou,Wes Anderson,Adam Yauch,7.3,2004,Yes
1,Sansho the Bailiff,Kenji Mizoguchi,Robin Wood,8.4,1954,
2,PlayTime,Jacques Tati,Robin Wood,7.9,1967,
3,The Complete Mr. Arkadin (Confidential Report),Orson Welles,Robin Wood,7.3,1955,
4,Seven Samurai,Akira Kurosawa,Robin Wood,8.6,1954,
5,Pickup on South Street,Samuel Fuller,Robin Wood,7.7,1953,
6,The Lady Eve,Preston Sturges,Robin Wood,7.8,1941,
7,Tokyo Story,Yasujiro Ozu,Robin Wood,8.2,1953,
8,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,Robin Wood,7.5,1945,
9,Band of Outsiders,Jean-Luc Godard,Robin Wood,7.8,1964,
10,Notorious,Alfred Hitchcock,Robin Wood,7.9,1946,Yes
1,The Spirit of the Beehive,Víctor Erice,Paul Schrader,7.9,1973,
2,Wings,Larisa Shepitko,Paul Schrader,7.7,1966,
3,Death of a Cyclist,Juan Antonio Bardem,Paul Schrader,7.7,1955,
4,The Face of Another,Hiroshi Teshigahara,Paul Schrader,8,1966,
5,The Furies,Anthony Mann,Paul Schrader,7.3,1950,
6,When a Woman Ascends the Stairs,Mikio Naruse,Paul Schrader,8.1,1960,
7,Mala Noche,Gus Van Sant,Paul Schrader,6.6,1986,
8,Berlin Alexanderplatz,Rainer Werner Fassbinder,Paul Schrader,8.6,1980,
9,Hands over the City,Francesco Rosi,Paul Schrader,7.7,1963,
10,Street of Shame,Kenji Mizoguchi,Paul Schrader,7.9,1956,
1,Withnail and I,Bruce Robinson,Leanne Shapton,7.7,1987,
2,The Rules of the Game,Jean Renoir,Leanne Shapton,8.1,1939,
3,A Night to Remember,Roy Ward Baker,Leanne Shapton,7.9,1958,
4,Naked,Mike Leigh,Leanne Shapton,7.8,1993,
5,L'avventura,Michelangelo Antonioni,Leanne Shapton,7.9,1960,
6,Masculin féminin,Jean-Luc Godard,Leanne Shapton,7.6,1966,
7,Mamma Roma,Pier Paolo Pasolini,Leanne Shapton,7.8,1962,
8,3 Women,Robert Altman,Leanne Shapton,7.8,1977,
9,Rebecca,Alfred Hitchcock,Leanne Shapton,8.1,1940,
10,My Life as a Dog,Lasse Hallström,Leanne Shapton,7.6,1985,
1,The Rules of the Game,Jean Renoir,David Schwartz,8.1,1939,
2,Late Spring,Yasujiro Ozu,David Schwartz,8.3,1949,
3,Videodrome,David Cronenberg,David Schwartz,7.3,1983,
4,Persian Series #1,Stan Brakhage,David Schwartz,5.3,1999,
5,All That Heaven Allows,Douglas Sirk,David Schwartz,7.6,1955,
6,The Bank Dick,Edward Cline,David Schwartz,7.2,1940,
7,Trouble in Paradise,Ernst Lubitsch,David Schwartz,8,1932,
8,My Night at Maud's,Eric Rohmer,David Schwartz,8,1969,
9,The Royal Tenenbaums,Wes Anderson,David Schwartz,7.6,2001,
10,Cléo from 5 to 7,Agnès Varda,David Schwartz,8,1962,
1,Trouble in Paradise,Ernst Lubitsch,Tom Schnabel,8,1932,
2,La strada,Federico Fellini,Tom Schnabel,8,1954,
3,Children of Paradise,Marcel Carné,Tom Schnabel,8.4,1945,
4,Monsieur Hulot's Holiday,Jacques Tati,Tom Schnabel,7.5,1953,
5,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Tom Schnabel,7.9,1972,
6,The Wages of Fear,Henri-Georges Clouzot,Tom Schnabel,8.1,1953,Yes
7,Woman in the Dunes,Hiroshi Teshigahara,Tom Schnabel,8.5,1964,
8,Tokyo Olympiad,Kon Ichikawa,Tom Schnabel,7.8,1965,
9,Unfaithfully Yours,Preston Sturges,Tom Schnabel,7.6,1948,
10,And God Created Woman,Roger Vadim,Tom Schnabel,6.3,1956,
1,L'avventura,Michelangelo Antonioni,Nicolas Roeg,7.9,1960,
2,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Nicolas Roeg,7.9,1972,
3,Beauty and the Beast,Jean Cocteau,Nicolas Roeg,7.9,1946,
4,Wild Strawberries,Ingmar Bergman,Nicolas Roeg,8.2,1957,
5,8½,Federico Fellini,Nicolas Roeg,8,1963,
6,Children of Paradise,Marcel Carné,Nicolas Roeg,8.4,1945,
7,Schizopolis,Steven Soderbergh,Nicolas Roeg,6.9,1996,
8,Contempt,Jean-Luc Godard,Nicolas Roeg,7.6,1963,
9,Straw Dogs,Sam Peckinpah,Nicolas Roeg,7.5,1971,
10,The Leopard,Luchino Visconti,Nicolas Roeg,8,1963,
1,This Is Spinal Tap,Rob Reiner,Bill Plympton,7.9,1984,
2,Ace in the Hole,Billy Wilder,Bill Plympton,8.2,1951,
3,Brazil,Terry Gilliam,Bill Plympton,7.9,1985,
4,The Third Man,Carol Reed,Bill Plympton,8.1,1949,
5,The Horse's Mouth,Ronald Neame,Bill Plympton,7.1,1958,
6,The Wages of Fear,Henri-Georges Clouzot,Bill Plympton,8.1,1953,Yes
7,The Bank Dick,Edward Cline,Bill Plympton,7.2,1940,
8,Beauty and the Beast,Jean Cocteau,Bill Plympton,7.9,1946,
9,Man Bites Dog,"Rémy Belvaux, André Bonzel, and Benoit Poelvoorde",Bill Plympton,7.5,1992,
10,Mon oncle,Jacques Tati,Bill Plympton,7.8,1958,
1,The Lady Vanishes,Alfred Hitchcock,D. A. Pennebaker,7.8,1938,Yes
2,Nanook of the North,Robert Flaherty,D. A. Pennebaker,7.6,1922,
3,The Red Shoes,Michael Powell and Emeric Pressburger,D. A. Pennebaker,8.2,1948,
4,Le million,René Clair,D. A. Pennebaker,7.4,1931,
5,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,D. A. Pennebaker,7.5,1945,
6,Children of Paradise,Marcel Carné,D. A. Pennebaker,8.4,1945,
7,À nous la liberté,René Clair,D. A. Pennebaker,7.5,1931,
8,The Horse's Mouth,Ronald Neame,D. A. Pennebaker,7.1,1958,
9,The Life and Death of Colonel Blimp,Michael Powell and Emeric Pressburger,D. A. Pennebaker,8.1,1943,
10,La strada,Federico Fellini,D. A. Pennebaker,8,1954,
11,Jules and Jim,François Truffaut,D. A. Pennebaker,7.8,1962,
12,Masculin féminin,Jean-Luc Godard,D. A. Pennebaker,7.6,1966,
1,Hard Boiled,John Woo,Patton Oswalt,7.8,1992,
2,George Washington,David Gordon Green,Patton Oswalt,7.4,2000,
3,Amarcord,Federico Fellini,Patton Oswalt,7.9,1973,
4,The Baron of Arizona,Samuel Fuller,Patton Oswalt,7,1950,
5,Blast of Silence,Allen Baron,Patton Oswalt,7.6,1961,
6,The Life and Death of Colonel Blimp,Michael Powell and Emeric Pressburger,Patton Oswalt,8.1,1943,
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Patton Oswalt,7.9,1970,
8,The Honeymoon Killers,Leonard Kastle,Patton Oswalt,7,1970,
9,Slacker,Richard Linklater,Patton Oswalt,7.1,1990,
10,The Spirit of the Beehive,Víctor Erice,Patton Oswalt,7.9,1973,
1,Carnival of Souls,Herk Harvey,David Markey,7.1,1962,
2,Slacker,Richard Linklater,David Markey,7.1,1990,
3,Monterey Pop,D. A. Pennebaker,David Markey,8,1968,
4,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",David Markey,7.6,1975,
5,3 Women,Robert Altman,David Markey,7.8,1977,
6,Brazil,Terry Gilliam,David Markey,7.9,1985,
7,Shadows,John Cassavetes,David Markey,7.3,1958,
8,This Is Spinal Tap,Rob Reiner,David Markey,7.9,1984,
9,Fear and Loathing in Las Vegas,Terry Gilliam,David Markey,7.6,1998,
10,All That Heaven Allows,Douglas Sirk,David Markey,7.6,1955,
1,Forbidden Games,René Clément,Guy Maddin,8.1,1952,
2,Day of Wrath,Carl Th. Dreyer,Guy Maddin,8.2,1943,
3,Umberto D.,Vittorio De Sica,Guy Maddin,8.2,1952,
4,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Guy Maddin,7.6,1975,
5,Pandora's Box,G. W. Pabst,Guy Maddin,7.9,1929,
6,I vitelloni,Federico Fellini,Guy Maddin,7.9,1953,
7,"Ivan the Terrible, Part II",Sergei Eisenstein,Guy Maddin,7.9,1958,
8,Black Narcissus,Michael Powell and Emeric Pressburger,Guy Maddin,7.8,1947,
9,Written on the Wind,Douglas Sirk,Guy Maddin,7.4,1956,
10,Häxan,Benjamin Christensen,Guy Maddin,7.7,1922,
1,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Kevin Macdonald,7.9,1970,
2,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,Kevin Macdonald,7.5,1945,
3,Murmur of the Heart,Louis Malle,Kevin Macdonald,7.7,1971,
4,The Lady Eve,Preston Sturges,Kevin Macdonald,7.8,1941,
5,The Wages of Fear,Henri-Georges Clouzot,Kevin Macdonald,8.1,1953,Yes
6,The Complete Mr. Arkadin (Confidential Report),Orson Welles,Kevin Macdonald,7.3,1955,
7,Walkabout,Nicolas Roeg,Kevin Macdonald,7.6,1971,
8,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Kevin Macdonald,8.1,1982,
9,The Battle of Algiers,Gillo Pontecorvo,Kevin Macdonald,8.1,1966,
10,I vitelloni,Federico Fellini,Kevin Macdonald,7.9,1953,
1,The Killing of a Chinese Bookie,John Cassavetes,John Lurie,7.4,1976,
2,The Last Temptation of Christ,Martin Scorsese,John Lurie,7.6,1988,
3,Naked,Mike Leigh,John Lurie,7.8,1993,
4,Burden of Dreams,Les Blank,John Lurie,7.9,1982,
5,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,John Lurie,8.1,1974,
6,Fishing with John,John Lurie,John Lurie,8.1,1991,
7,The Naked Kiss,Samuel Fuller,John Lurie,7.3,1964,
8,Opening Night,John Cassavetes,John Lurie,8,1977,
9,The Pornographers,Shohei Imamura,John Lurie,7.3,1966,
10,The Wages of Fear,Henri-Georges Clouzot,John Lurie,8.1,1953,Yes
1,Andrei Rublev,Andrei Tarkovsky,Richard Linklater,8.2,1966,
2,Au hasard Balthazar,Robert Bresson,Richard Linklater,7.9,1966,
3,The Flowers of St. Francis,Roberto Rossellini,Richard Linklater,7.4,1950,
4,Day of Wrath,Carl Th. Dreyer,Richard Linklater,8.2,1943,
5,Tokyo Story,Yasujiro Ozu,Richard Linklater,8.2,1953,
6,The Last Temptation of Christ,Martin Scorsese,Richard Linklater,7.6,1988,
7,Unfaithfully Yours,Preston Sturges,Richard Linklater,7.6,1948,
8,Fanny and Alexander: Television Version,Ingmar Bergman,Richard Linklater,9.1,1983,
9,Pickpocket,Robert Bresson,Richard Linklater,7.7,1959,
10,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,Richard Linklater,7.5,1945,
